ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190623,sebl1013_snapshot_user.bat,SEBLJ1013b,SEBLG408@-SIEBEL014,4ccc0, ,SEBLG408@-SIEBEL014
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190623,sebl1013_snapshot_user.bat,SEBLJ1013ca,SEBLG410@-SIEBEL012,4ccc1, ,SEBLG410@-SIEBEL012
0,0,,0, ,AA,0,0, ,2.02E+13,1900,magic,Run (2) ,190623,sebl1014_user_access.bat,SEBLJ1014a,SEBLG407@-SIEBEL016,4ccc2, ,SEBLG407@-SIEBEL016
0,0,,0, ,AA,0,0, ,start,1900,Ended Not OK,Run (2) ,190623,sebl1014_user_access.bat,SEBLJ1014b,SEBLG408@-SIEBEL014,4ccc3, ,SEBLG408@-SIEBEL014
0,0,,0, ,AA,0,0, ,2.02E+13,1900,Ended Not OK,Run (2) ,190623,sebl1014_user_access.bat,SEBLJ1014ca,SEBLG410@-SIEBEL012,4ccc4, ,SEBLG410@-SIEBEL012
700,0,135346,8, ,AA,0,0,2.02E+13,2.02E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001a,SEBLG407@-SIEBEL016,4ccc5,11072,SEBLG407@-SIEBEL016
800,0,135356,8, ,AA,0,0,2.02E+13,2.02E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001b,SEBLG407@-SIEBEL016,4ccc6,3568,SEBLG407@-SIEBEL016
100,0,153740,1, ,AA,0,0,2.02E+13,2.02E+13, ,Executing,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ba,SEBLG408@-SIEBEL014,4ccc7,7760,SEBLG408@-SIEBEL014
100,0,153742,1, ,AA,0,0,2.02E+13,2.02E+13, ,Executing,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bb,SEBLG408@-SIEBEL014,4ccc8,9632,SEBLG408@-SIEBEL014
