LOG_CAPTURED_TIMESTAMP,ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME
28/06/2019 11:54:23,0,0,,0, ,AA,0,0, , , ,Wait Condition,,190622,sebl1013_snapshot_user.bat,SEBLJ1013b,SEBLG408@-SIEBEL014,4ddd0, ,SEBLG408@-SIEBEL014
28/06/2019 11:54:23,0,0,,0, ,AA,0,0, , , ,Wait Condition,,190622,sebl1013_snapshot_user.bat,SEBLJ1013ca,SEBLG410@-SIEBEL012,4ddd1, ,SEBLG410@-SIEBEL012
03/07/2019 07:17:01,0,0,,0, ,AA,0,0, ,2.02E+13,1900,magic,Run (2) ,190623,sebl1014_user_access.bat,SEBLJ1014a,SEBLG407@-SIEBEL016,4ccc2, ,SEBLG407@-SIEBEL016
03/07/2019 07:17:01,0,0,,0, ,AA,0,0, ,start,1900,Ended Not OK,Run (2) ,190623,sebl1014_user_access.bat,SEBLJ1014b,SEBLG408@-SIEBEL014,4ccc3, ,SEBLG408@-SIEBEL014
28/06/2019 11:54:23,0,0,,0, ,AA,0,0, ,2.02E+13,1900,Ended Not OK,Run (2) ,190623,sebl1014_user_access.bat,SEBLJ1014ca,SEBLG410@-SIEBEL012,4ccc4, ,SEBLG410@-SIEBEL012
28/06/2019 11:54:23,700,0,135346.0,8, ,AA,0,0,2.02E+13,2.02E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001a,SEBLG407@-SIEBEL016,4ccc5,11072,SEBLG407@-SIEBEL016
28/06/2019 11:55:42,800,0,135356.0,8, ,AA,0,0,2.02E+13,2.02E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001b,SEBLG407@-SIEBEL016,4ccc6,3568,SEBLG407@-SIEBEL016
2/7/2019 23:46,0,0,,0, ,AA,0,0, , , ,Wait Condition,,190623,sebl1013_snapshot_user.bat,SEBLJ1013b,SEBLG408@-SIEBEL014,4ccc0, ,SEBLG408@-SIEBEL014
2/7/2019 23:46,0,0,,0, ,AA,0,0, , , ,Wait Condition,,190623,sebl1013_snapshot_user.bat,SEBLJ1013ca,SEBLG410@-SIEBEL012,4ccc1, ,SEBLG410@-SIEBEL012
2/7/2019 23:46,100,0,153740.0,1, ,AA,0,0,2.02E+13,2.02E+13, ,Executing,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ba,SEBLG408@-SIEBEL014,4ccc7,7760,SEBLG408@-SIEBEL014
2/7/2019 23:46,100,0,153742.0,1, ,AA,0,0,2.02E+13,2.02E+13, ,Executing,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bb,SEBLG408@-SIEBEL014,4ccc8,9632,SEBLG408@-SIEBEL014
